"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1045.51940388774,10.7159698104802,-0.349060124783823,-0.0687560747045263,0.0659563792178428,"EC-EARTH3","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1114.88622472034,10.576121795958,0.0202026655935929,-0.087246228363103,0.037535929008742,"EC-EARTH3","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1053.04710096681,11.0065008325415,0.145757705931227,0.179972711670939,0.0580569259266532,"EC-EARTH3","r2i1p1f1","ssp245","Fut(1993-2022)",2007
1125.30131712791,10.7720956841423,-0.455574651003607,-0.0891552605478103,0.074170445969985,"EC-EARTH3","r3i1p1f1","ssp585","Fut(1993-2022)",2007
1088.71857516385,10.9385375960374,-0.0717310714751072,-0.0503419082025352,0.0115189472715738,"EC-EARTH3","r4i1p1f1","ssp245","Fut(1993-2022)",2007
1060.48508342561,10.9990329877897,-0.650029219487518,-0.0401579857521737,0.00640107812155932,"EC-EARTH3","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1106.87269580523,11.0427482711055,0.422457304672688,-0.125462461676521,0.0289895323089091,"EC-EARTH3","r4i1p1f1","ssp585","Fut(1993-2022)",2007
1053.04081441956,10.955371411472,0.133317242877279,0.10534535620765,0.0164396622508036,"FGOALS-G3","r1i1p1f1","ssp245","Fut(1993-2022)",2007
997.313850025329,10.9670756572581,0.765897848632609,0.150370472201717,0.0125607969442072,"FGOALS-G3","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1023.08981022549,11.0168668224088,0.458118222069153,0.37553736795681,0.0218345720482134,"FGOALS-G3","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1118.52599095175,10.6772718130218,-1.77986396846033,-0.234610900771719,0.0460910314312457,"FGOALS-G3","r3i1p1f1","ssp245","Fut(1993-2022)",2007
1087.58892815878,10.8874106709418,-1.70712357297521,0.00633774536986901,0.0267217144840455,"FGOALS-G3","r3i1p1f1","ssp370","Fut(1993-2022)",2007
1110.07932932485,10.9201706552953,-2.45351509887881,0.125136674175595,0.0559177969842715,"FGOALS-G3","r3i1p1f1","ssp585","Fut(1993-2022)",2007
1098.18555732616,10.9870521641777,1.24670361724289,0.0567278109705535,0.110877322362688,"FGOALS-G3","r4i1p1f1","ssp245","Fut(1993-2022)",2007
1066.55175694738,11.0495426344445,-0.540345170080587,0.0642289471698105,0.0875738653982285,"FGOALS-G3","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1104.13002127838,10.9998537119683,-0.444688104336876,0.192832389564927,0.115979697533044,"FGOALS-G3","r4i1p1f1","ssp585","Fut(1993-2022)",2007
916.276493953735,10.9510623597649,-0.235496547960757,0.317228998125806,0.0353944015168803,"FGOALS-G3","r5i1p1f1","ssp370","Fut(1993-2022)",2007
1091.03844866069,10.7284082546767,3.40125880404971,0.107102099235386,0.00367197200384517,"GFDL-ESM4","r1i1p1f1","ssp245","Fut(1993-2022)",2007
1015.99191984513,10.7850990106475,-0.0860455620499793,-0.0185242179772837,0.0137926158376835,"GFDL-ESM4","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1079.95894069107,10.7295578280569,1.5006792835818,0.0256356479064439,-0.0125659897494046,"GFDL-ESM4","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1133.34023437702,10.9227785786743,0.601758278844582,-0.0733706861441773,0.024695066327288,"INM-CM5-0","r1i1p1f1","ssp245","Fut(1993-2022)",2007
1092.16699881485,10.9674258951932,0.302224512487893,-0.206703277324704,0.0633365256222778,"INM-CM5-0","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1113.66521979504,10.9395713440336,0.353148338824301,-0.0841927847975218,0.0342737016337793,"INM-CM5-0","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1085.30913823812,10.8832652134211,-0.182506056245678,0.0404546100773601,0.0664344535287587,"INM-CM5-0","r2i1p1f1","ssp370","Fut(1993-2022)",2007
1045.53724776022,10.7076788601024,0.238217721931085,0.0126414770332376,-0.0073652868530143,"INM-CM5-0","r3i1p1f1","ssp370","Fut(1993-2022)",2007
1029.80182604992,10.7583791937287,-0.558277890839726,-0.0926915671105312,0.0605396257810593,"INM-CM5-0","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1057.69716057255,10.7123605341412,0.866494846812487,0.0745853243482763,0.0321146200994864,"INM-CM5-0","r5i1p1f1","ssp370","Fut(1993-2022)",2007
1085.1667189549,10.9964226989847,-0.208371756089637,0.0285896814127192,6.52980933679714e-06,"IPSL-CM6A-LR","r1i1p1f1","ssp245","Fut(1993-2022)",2007
1082.36890468957,11.0708507436694,-0.805217818157778,0.0184398619172485,0.0191004330484965,"IPSL-CM6A-LR","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1067.00080232867,11.0717129221301,1.09022435226978,-0.206623219707457,0.0106231534867689,"IPSL-CM6A-LR","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1129.63320903749,11.1177838629854,1.30768207235854,-0.120537006534141,0.0664932880082461,"IPSL-CM6A-LR","r2i1p1f1","ssp245","Fut(1993-2022)",2007
