mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
CESM2-LENS_r8i1p1f1_ssp370,CESM2-LENS,r8i1p1f1,ssp370,0.95002856276357,-889.0151739366975,3.4,6.0,4.1,1003.4417230883339,1037.6427513478225,1044.2929512871674,1063.2935225424387
CESM2-LENS_r9i1p1f1_ssp370,CESM2-LENS,r9i1p1f1,ssp370,-0.26671021978783144,1623.4460095088862,-0.9,-1.5,-1.1,1092.159251691526,1082.557683779164,1080.6907122406492,1075.3565078448926
CNRM-ESM2-1_r1i1p1f2_ssp245,CNRM-ESM2-1,r1i1p1f2,ssp245,1.4131921931817657,-1718.2881186671761,4.6,8.1,5.5,1096.7907301509013,1147.6656491054446,1157.557994457717,1185.8218383213525
CNRM-ESM2-1_r1i1p1f2_ssp370,CNRM-ESM2-1,r1i1p1f2,ssp370,0.2601299802846955,567.0940129123197,0.9,1.5,1.0,1085.2729336394332,1094.6376129296823,1096.458522791675,1101.661122397369
CNRM-ESM2-1_r1i1p1f2_ssp585,CNRM-ESM2-1,r1i1p1f2,ssp585,-1.230058518938931,3544.482632660973,-4.0,-7.1,-4.8,1094.2060629346224,1049.923956252821,1041.3135466202484,1016.7123762414699
EC-Earth3_r1i1p1f1_ssp245,EC-Earth3,r1i1p1f1,ssp245,-0.31867287365488706,1811.1892230685248,-1.0,-1.7,-1.2,1176.39285874799,1164.9206352964138,1162.6899251808295,1156.316467707732
EC-Earth3_r2i1p1f1_ssp245,EC-Earth3,r2i1p1f1,ssp245,1.8614701989466869,-2673.7417229569082,6.5,11.3,7.7,1034.306913344892,1101.319840506973,1114.3501318995995,1151.579535878533
EC-Earth3_r4i1p1f1_ssp245,EC-Earth3,r4i1p1f1,ssp245,-0.5783703051224478,2300.997998383833,-1.8,-3.2,-2.2,1148.8843505799168,1128.0630195955089,1124.0144274596516,1112.4470213572026
EC-Earth3_r1i1p1f1_ssp370,EC-Earth3,r1i1p1f1,ssp370,-0.7712682762011058,2658.1120548723193,-2.5,-4.3,-3.0,1121.7456486797164,1093.9799907364766,1088.581112803069,1073.1557472790469
EC-Earth3_r4i1p1f1_ssp370,EC-Earth3,r4i1p1f1,ssp370,-0.44816994830454543,2008.7715381502762,-1.4,-2.5,-1.7,1116.0170011276218,1099.8828829886581,1096.7456933505264,1087.7822943844353
EC-Earth3_r1i1p1f1_ssp585,EC-Earth3,r1i1p1f1,ssp585,-1.016981080772103,3191.471063224076,-3.1,-5.5,-3.8,1165.6447503260467,1129.033431418251,1121.9145638528462,1101.5749422374042
EC-Earth3_r3i1p1f1_ssp585,EC-Earth3,r3i1p1f1,ssp585,-1.0417822282814777,3243.73357350159,-3.2,-5.6,-3.8,1168.5033747648863,1130.9992145467531,1123.706738948783,1102.8710943831534
