period,mvs,window,n_windows,min_window_avg_pr
historical,MPI-ESM1-2-HR_r7i1p1f1_ssp370,20,46,984.9712977228
historical,MPI-ESM1-2-HR_r8i1p1f1_ssp370,2,64,476.0418036558094
historical,MPI-ESM1-2-HR_r8i1p1f1_ssp370,5,61,680.282538765663
historical,MPI-ESM1-2-HR_r8i1p1f1_ssp370,10,56,786.5994297019477
historical,MPI-ESM1-2-HR_r8i1p1f1_ssp370,15,51,879.7057446210252
historical,MPI-ESM1-2-HR_r8i1p1f1_ssp370,20,46,905.2684826466914
historical,MPI-ESM1-2-HR_r9i1p1f1_ssp370,2,64,600.1409269694013
historical,MPI-ESM1-2-HR_r9i1p1f1_ssp370,5,61,743.1413467395818
historical,MPI-ESM1-2-HR_r9i1p1f1_ssp370,10,56,829.6590976026237
historical,MPI-ESM1-2-HR_r9i1p1f1_ssp370,15,51,875.4425667961929
historical,MPI-ESM1-2-HR_r9i1p1f1_ssp370,20,46,902.6159376457308
historical,MRI-ESM2-0_r1i1p1f1_ssp245,2,64,721.55281841748
historical,MRI-ESM2-0_r1i1p1f1_ssp245,5,61,778.7782379017692
historical,MRI-ESM2-0_r1i1p1f1_ssp245,10,56,928.202214017187
historical,MRI-ESM2-0_r1i1p1f1_ssp245,15,51,957.5542067068251
historical,MRI-ESM2-0_r1i1p1f1_ssp245,20,46,975.4287778958263
historical,MRI-ESM2-0_r2i1p1f1_ssp370,2,64,602.8409527202839
historical,MRI-ESM2-0_r2i1p1f1_ssp370,5,61,815.1930337018115
historical,MRI-ESM2-0_r2i1p1f1_ssp370,10,56,947.5856788184531
historical,MRI-ESM2-0_r2i1p1f1_ssp370,15,51,960.8293227799338
historical,MRI-ESM2-0_r2i1p1f1_ssp370,20,46,997.237665087634
historical,MRI-ESM2-0_r3i1p1f1_ssp370,2,64,686.1470100901752
historical,MRI-ESM2-0_r3i1p1f1_ssp370,5,61,772.1911895016522
historical,MRI-ESM2-0_r3i1p1f1_ssp370,10,56,909.7356456555099
historical,MRI-ESM2-0_r3i1p1f1_ssp370,15,51,967.2372836005995
historical,MRI-ESM2-0_r3i1p1f1_ssp370,20,46,983.5193195606764
historical,MRI-ESM2-0_r4i1p1f1_ssp370,2,64,659.4761474248426
historical,MRI-ESM2-0_r4i1p1f1_ssp370,5,61,833.7741135755147
historical,MRI-ESM2-0_r4i1p1f1_ssp370,10,56,949.4017967465952
historical,MRI-ESM2-0_r4i1p1f1_ssp370,15,51,999.779952230797
historical,MRI-ESM2-0_r4i1p1f1_ssp370,20,46,1011.5464573742444
historical,MRI-ESM2-0_r5i1p1f1_ssp370,2,64,651.1867652695437
historical,MRI-ESM2-0_r5i1p1f1_ssp370,5,61,749.3907161667782
historical,MRI-ESM2-0_r5i1p1f1_ssp370,10,56,876.1890257142389
historical,MRI-ESM2-0_r5i1p1f1_ssp370,15,51,944.3789260035578
historical,MRI-ESM2-0_r5i1p1f1_ssp370,20,46,991.1114519805036
projection,ACCESS-CM2_r1i1p1f1_ssp245,2,79,723.7316636275973
projection,ACCESS-CM2_r1i1p1f1_ssp245,5,76,890.0072594937243
projection,ACCESS-CM2_r1i1p1f1_ssp245,10,71,960.4931909728773
projection,ACCESS-CM2_r1i1p1f1_ssp245,15,66,1022.4602701086495
projection,ACCESS-CM2_r1i1p1f1_ssp245,20,61,1022.0776799778429
projection,ACCESS-CM2_r1i1p1f1_ssp370,2,79,683.5687770956174
projection,ACCESS-CM2_r1i1p1f1_ssp370,5,76,798.8038027759467
projection,ACCESS-CM2_r1i1p1f1_ssp370,10,71,894.2482141324272
projection,ACCESS-CM2_r1i1p1f1_ssp370,15,66,958.7700062216664
projection,ACCESS-CM2_r1i1p1f1_ssp370,20,61,1002.1340728388477
projection,ACCESS-CM2_r1i1p1f1_ssp585,2,79,623.0281509680244
projection,ACCESS-CM2_r1i1p1f1_ssp585,5,76,841.6277245370475
projection,ACCESS-CM2_r1i1p1f1_ssp585,10,71,960.3482900033596
