period,mvs,window,n_windows,min_window_avg_pr
historical,INM-CM5-0_r2i1p1f1_ssp370,10,56,967.8336743922839
historical,INM-CM5-0_r2i1p1f1_ssp370,15,51,1021.9418941771112
historical,INM-CM5-0_r2i1p1f1_ssp370,20,46,1034.6049295543482
historical,INM-CM5-0_r3i1p1f1_ssp370,2,64,700.0106579231774
historical,INM-CM5-0_r3i1p1f1_ssp370,5,61,814.2405573589729
historical,INM-CM5-0_r3i1p1f1_ssp370,10,56,977.3672091345776
historical,INM-CM5-0_r3i1p1f1_ssp370,15,51,1008.3932165684389
historical,INM-CM5-0_r3i1p1f1_ssp370,20,46,1036.8556941199336
historical,INM-CM5-0_r4i1p1f1_ssp370,2,64,692.5624411015584
historical,INM-CM5-0_r4i1p1f1_ssp370,5,61,812.7776444143528
historical,INM-CM5-0_r4i1p1f1_ssp370,10,56,981.8575272509355
historical,INM-CM5-0_r4i1p1f1_ssp370,15,51,1008.2956967434804
historical,INM-CM5-0_r4i1p1f1_ssp370,20,46,1036.1468113410624
historical,INM-CM5-0_r5i1p1f1_ssp370,2,64,573.6363327065592
historical,INM-CM5-0_r5i1p1f1_ssp370,5,61,967.7319914652005
historical,INM-CM5-0_r5i1p1f1_ssp370,10,56,1009.5285313024106
historical,INM-CM5-0_r5i1p1f1_ssp370,15,51,1058.0569009183573
historical,INM-CM5-0_r5i1p1f1_ssp370,20,46,1066.5000122618285
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,2,64,706.3499217576718
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,5,61,851.6488026530672
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,10,56,986.0523678775178
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,15,51,1022.9970173244204
historical,IPSL-CM6A-LR_r10i1p1f1_ssp370,20,46,1051.4801422605703
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,2,64,699.272994485149
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,5,61,911.3780395716407
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,10,56,1009.2025118100643
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,15,51,1085.780860645624
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,20,46,1104.9887953814982
historical,IPSL-CM6A-LR_r1i1p1f1_ssp370,2,64,699.272994485149
historical,IPSL-CM6A-LR_r1i1p1f1_ssp370,5,61,911.3780395716407
historical,IPSL-CM6A-LR_r1i1p1f1_ssp370,10,56,1009.2025118100643
historical,IPSL-CM6A-LR_r1i1p1f1_ssp370,15,51,1085.780860645624
historical,IPSL-CM6A-LR_r1i1p1f1_ssp370,20,46,1104.9887953814982
