"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"MIROC6","ssp585",1067.81714026021,11.062217928934,0.905660289586299,-0.377492872372757,0.213524968121254,NA,"Fut(1997-2026)",2011,NA
"MPI-ESM1-2-HR","ssp245",1092.12248463903,11.0035765526328,2.70753128593018,-0.322989565527044,0.136996556775379,NA,"Fut(1997-2026)",2011,NA
"MPI-ESM1-2-HR","ssp370",1071.85587209771,10.9281927548588,0.430611307524563,-0.220660437857679,0.123154930616547,NA,"Fut(1997-2026)",2011,NA
"MPI-ESM1-2-HR","ssp585",1085.46848900176,10.9500557096185,3.19854080354281,-0.68607669196597,0.115615859489299,NA,"Fut(1997-2026)",2011,NA
"MRI-ESM2-0","ssp370",1051.91670377954,11.143024772464,0.857425325045483,0.373867850192145,0.197694793265825,NA,"Fut(1997-2026)",2011,NA
"ACCESS-CM2","ssp245",1006.41764156537,11.3606970195632,-3.69347992874022,1.05224927680514,0.381645876412994,NA,"Fut(1998-2027)",2012,NA
"ACCESS-CM2","ssp370",1050.82179626917,11.3221099556108,-1.99432608058178,0.706746643299619,0.353543407854138,NA,"Fut(1998-2027)",2012,NA
"ACCESS-CM2","ssp585",1022.03673703364,11.4791933070649,-2.20850673588175,0.599244485071277,0.443591113934705,NA,"Fut(1998-2027)",2012,NA
"CESM2-LENS","ssp370",1039.02977688412,11.2519422879725,-1.01650346106047,0.403775079562432,0.258564605777053,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3","ssp245",1074.99777026105,11.106132276786,-1.24906437538277,0.20508363887358,0.293061377839154,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3","ssp370",1046.05450274089,11.1509547427485,-1.15734010499544,-0.3267421813701,0.329632072283296,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3","ssp585",1110.28013554531,10.9499210879026,-0.492580736046546,-0.603727901174929,0.199831139929906,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3-VEG","ssp245",1084.78013940253,11.4039053382533,1.06310109546777,-0.0356124982640396,0.297510029642181,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3-VEG","ssp370",1116.6076058917,11.2019291804255,3.50230061635604,0.0617046181265519,0.214462447784923,NA,"Fut(1998-2027)",2012,NA
"EC-EARTH3-VEG","ssp585",1120.21692510759,11.3718105433403,5.14337816017242,0.0425344849741441,0.314726385484862,NA,"Fut(1998-2027)",2012,NA
"FGOALS-G3","ssp245",1088.32328886471,11.054171602548,-0.309210671172296,-0.145075467187013,0.238742478339093,NA,"Fut(1998-2027)",2012,NA
"FGOALS-G3","ssp370",1027.41963592658,11.1526605646553,0.554971160550316,0.807249244300844,0.229450428638778,NA,"Fut(1998-2027)",2012,NA
"FGOALS-G3","ssp585",1063.40069340512,11.1636252576634,-2.30545651473284,1.38701286339472,0.249238883294456,NA,"Fut(1998-2027)",2012,NA
"INM-CM5-0","ssp370",1069.36066215436,10.9957326609832,0.818092975292848,-0.206056119571573,0.232922709301615,NA,"Fut(1998-2027)",2012,NA
"IPSL-CM6A-LR","ssp245",1080.62253347929,11.2172256787695,1.12476848866876,-0.0241923376937955,0.21861709896983,NA,"Fut(1998-2027)",2012,NA
"IPSL-CM6A-LR","ssp370",1055.50073105368,11.2463222736473,-0.724696224953256,0.0668279160307377,0.258769964999951,NA,"Fut(1998-2027)",2012,NA
"IPSL-CM6A-LR","ssp585",1070.88432722411,11.2178328800792,0.101644867676022,-0.307278216200416,0.245141192514255,NA,"Fut(1998-2027)",2012,NA
